jatosResID;image;t1_trial;t2_trial;t1_x1;t1_x2;t2_x1;t2_x2
6540;2va014;5;69;0.07;0.05;0.17;0.99
6540;2va067;34;51;0.81;0.93;0.90;0.77
6540;art_007;31;64;0.09;0.63;0.18;0.95
6540;art_039;61;113;0.84;0.26;0.67;0.25
6540;art_061;44;140;0.22;0.29;0.10;0.86
6540;art_102;93;154;0.16;0.78;0.09;0.94
6538;2va014;19;22;0.62;0.76;0.61;0.69
6538;2va067;6;41;0.88;0.59;0.91;0.61
6538;art_007;61;80;0.55;0.67;0.61;0.87
6538;art_039;54;138;0.05;0.26;0.09;0.24
6538;art_061;7;123;0.75;0.97;0.56;0.88
6538;art_102;38;149;0.01;0.97;0.01;0.98
6535;2va014;9;112;0.52;0.54;0.69;0.43
6535;2va067;92;103;0.78;0.17;0.91;0.10
6535;art_007;86;88;0.57;0.57;0.53;0.52
6535;art_039;32;98;0.88;0.13;0.96;0.06
6535;art_061;46;69;0.22;0.57;0.27;0.69
6535;art_102;5;142;0.26;0.78;0.35;0.79
6533;2va014;103;143;0.21;0.20;0.36;0.24
6533;2va067;39;109;0.92;0.18;0.82;0.14
6533;art_007;71;153;0.67;0.29;0.81;0.25
6533;art_039;1;13;0.87;0.10;0.96;0.06
6533;art_061;101;148;0.18;0.80;0.26;0.69
6533;art_102;34;36;0.34;0.84;0.23;0.78
6531;2va014;24;154;0.69;0.47;0.71;0.29
6531;2va067;16;56;0.86;0.29;0.95;0.38
6531;art_007;58;148;0.36;0.51;0.52;0.76
6531;art_039;27;70;0.47;0.72;0.79;0.23
6531;art_061;107;138;0.51;0.25;0.62;0.38
6531;art_102;21;150;0.05;0.97;0.04;0.96
6530;2va014;8;26;0.91;0.16;0.61;0.21
6530;2va067;83;88;0.91;0.15;0.82;0.28
6530;art_007;25;32;0.73;0.05;0.74;0.16
6530;art_039;19;71;0.55;0.26;0.66;0.09
6530;art_061;53;96;0.54;0.27;0.73;0.26
6530;art_102;73;124;0.02;0.61;0.12;0.47
6525;2va014;72;130;0.10;0.29;0.13;0.32
6525;2va067;77;125;0.92;0.06;0.79;0.01
6525;art_007;33;117;0.04;0.11;0.77;0.23
6525;art_039;2;68;0.93;0.06;0.74;0.15
6525;art_061;96;110;0.14;0.45;0.03;0.29
6525;art_102;31;152;0.04;0.22;0.10;0.90
6526;2va014;105;117;0.15;0.22;0.14;0.23
6526;2va067;12;147;0.54;0.75;0.44;0.67
6526;art_007;103;142;0.06;0.43;0.04;0.38
6526;art_039;70;89;0.27;0.20;0.49;0.19
6526;art_061;102;152;0.14;0.73;0.03;0.86
6526;art_102;47;112;0.03;0.72;0.06;0.33
6524;2va014;112;139;0.24;0.68;0.07;0.68
6524;2va067;48;50;0.61;0.32;0.70;0.26
6524;art_007;13;135;0.53;0.38;0.16;0.31
6524;art_039;62;122;0.74;0.24;0.69;0.28
6524;art_061;26;60;0.07;0.73;0.28;0.70
6524;art_102;3;138;0.21;0.41;0.04;0.54
6519;2va014;46;121;0.28;0.97;0.08;0.86
6519;2va067;40;116;0.77;0.14;0.84;0.18
6519;art_007;31;39;0.01;0.80;0.15;0.59
6519;art_039;6;101;0.94;0.43;0.73;0.15
6519;art_061;64;153;0.02;0.74;0.03;0.74
6519;art_102;75;110;0.01;0.77;0.01;0.88
