jatosResID;image;trial_main;x1;x2
6540;2va003;141;0.36;0.01
6540;2va005;150;0.16;0.49
6540;2va006;95;0.34;0.89
6540;2va007;35;0.95;0.09
6540;2va009;36;0.98;0.19
6540;2va014;5;0.07;0.05
6540;2va016;78;0.92;0.07
6540;2va018;62;0.90;0.14
6540;2va019;126;0.99;0.17
6540;2va020;75;0.58;0.97
6540;2va025;153;0.85;0.20
6540;2va026;99;0.90;0.07
6540;2va028;55;0.83;0.12
6540;2va031;28;0.11;0.17
6540;2va033;131;0.49;0.01
6540;2va035;130;0.99;0.56
6540;2va036;10;0.80;0.30
6540;2va037;108;0.17;0.77
6540;2va041;106;0.29;0.78
6540;2va042;68;0.18;0.91
6540;2va044;12;0.89;0.02
6540;2va051;14;0.20;0.82
6540;2va056;142;0.03;0.37
6540;2va057;124;0.63;0.55
6540;2va063;92;0.75;0.20
6540;2va067;34;0.81;0.93
6540;2va071;24;0.95;0.96
6540;2va074;129;0.03;0.99
6540;2va075;2;0.70;0.81
6540;2va078;49;0.89;0.84
6540;2va081;120;0.94;0.58
6540;2va088;4;0.07;0.03
6540;2va092;19;0.18;0.17
6540;2va106;67;0.16;0.82
6540;2va108;53;0.03;0.34
6540;2va118;84;0.03;0.97
6540;2va119;6;0.16;0.47
6540;2va131;66;0.03;0.99
6540;2va137;80;0.71;0.10
6540;art_001;123;0.66;0.71
6540;art_002;134;0.88;0.02
6540;art_003;132;0.92;0.09
6540;art_004;42;0.00;0.98
6540;art_005;21;0.15;0.13
6540;art_006;109;0.95;0.02
6540;art_007;31;0.09;0.63
6540;art_008;77;0.87;0.01
6540;art_009;145;0.87;0.11
6540;art_010;26;0.98;0.04
6540;art_011;47;0.87;0.17
6540;art_012;143;0.79;0.06
6540;art_013;60;0.39;0.89
6540;art_014;86;0.65;0.07
6540;art_015;85;0.61;0.10
6540;art_016;133;0.67;0.05
6540;art_017;1;0.24;0.85
6540;art_018;147;0.85;0.98
6540;art_019;46;0.83;0.09
6540;art_020;17;0.98;0.05
6540;art_021;110;0.38;0.33
6540;art_022;101;0.90;0.11
6540;art_023;37;0.88;0.16
6540;art_024;39;0.79;0.29
6540;art_025;23;0.82;0.91
6540;art_026;144;0.73;0.90
6540;art_027;18;0.98;0.02
6540;art_028;87;0.67;0.16
6540;art_029;3;0.25;0.84
6540;art_030;33;0.66;0.84
6540;art_031;135;0.64;0.00
6540;art_032;98;0.92;0.30
6540;art_033;54;0.85;0.20
6540;art_034;122;0.71;0.85
6540;art_035;48;0.25;0.86
6540;art_036;137;0.69;0.10
6540;art_037;58;0.96;0.50
6540;art_038;9;0.33;0.80
6540;art_039;61;0.84;0.26
6540;art_040;127;0.12;0.78
6540;art_041;125;0.01;0.99
6540;art_042;16;0.86;0.91
6540;art_043;40;0.37;0.74
6540;art_044;89;0.36;0.90
6540;art_045;29;0.82;0.89
6540;art_046;15;0.81;0.90
6540;art_047;102;0.98;0.04
6540;art_048;112;0.40;0.81
6540;art_049;91;0.94;0.05
6540;art_050;146;0.28;0.96
6540;art_051;38;0.12;0.92
6540;art_052;56;0.76;0.42
6540;art_053;111;0.26;0.79
6540;art_054;82;0.76;0.80
6540;art_055;139;0.45;0.85
6540;art_056;152;0.32;0.76
6540;art_057;119;0.15;0.80
6540;art_058;100;0.81;0.78
6540;art_059;107;0.77;0.86
6540;art_060;20;0.21;0.12
6540;art_061;44;0.22;0.29
6540;art_062;11;0.85;0.12
6540;art_063;13;0.08;0.98
6540;art_064;32;0.29;0.69
6540;art_065;25;0.86;0.92
6540;art_066;8;0.73;0.88
6540;art_067;63;0.92;0.13
6540;art_068;79;0.28;0.99
6540;art_069;45;0.82;0.88
6540;art_070;65;0.77;0.95
6540;art_071;72;0.80;0.15
6540;art_072;52;0.90;0.62
6540;art_073;76;0.87;0.94
6540;art_074;27;0.87;0.15
6540;art_075;81;0.81;0.62
6540;art_076;149;0.21;0.99
6540;art_077;96;0.98;0.80
6540;art_078;41;0.98;0.01
6540;art_079;115;0.80;0.20
6540;art_080;57;0.87;0.32
6540;art_081;97;0.94;0.73
6540;art_082;88;0.85;0.15
6540;art_083;105;0.98;0.86
6540;art_084;59;0.92;0.98
6540;art_085;7;0.73;0.19
6540;art_086;128;0.99;0.91
6540;art_087;70;0.90;0.07
6540;art_088;114;0.78;0.67
6540;art_089;50;0.54;0.20
6540;art_090;83;0.97;0.99
6540;art_091;103;0.91;0.06
6540;art_092;138;0.86;0.10
6540;art_093;22;0.92;0.04
6540;art_094;151;0.93;0.66
6540;art_095;43;0.88;0.07
6540;art_096;71;0.00;0.98
6540;art_097;118;0.69;0.24
6540;art_098;136;0.95;0.01
6540;art_099;104;0.86;0.69
6540;art_100;94;0.55;0.85
6540;art_101;73;0.19;0.84
6540;art_102;93;0.16;0.78
6540;art_103;148;0.29;0.99
6540;art_104;90;0.30;0.77
6540;art_105;30;0.07;0.05
6540;art_106;116;0.01;0.86
6540;art_107;121;0.22;0.91
6540;art_108;117;0.27;0.99
6540;art_109;74;0.01;1.00
6538;2va003;120;0.53;0.35
6538;2va005;21;0.48;0.30
6538;2va006;114;0.04;0.48
6538;2va007;16;0.91;0.07
6538;2va009;143;0.40;0.37
6538;2va014;19;0.62;0.76
6538;2va016;147;0.36;0.11
6538;2va018;64;0.89;0.09
6538;2va019;24;0.22;0.14
6538;2va020;81;0.65;0.76
6538;2va025;148;0.62;0.54
6538;2va026;14;0.05;0.07
6538;2va028;85;0.96;0.49
6538;2va031;68;0.03;0.90
6538;2va033;94;0.07;0.05
6538;2va035;145;0.02;0.48
